Country Name,Value,Indicator Name,Year
Guatemala,18.6375,Lending interest rate (%),1997
Guatemala,9.58841265956592,Real interest rate (%),1997
Guinea,,Bank nonperforming loans to total gross loans (%),1997
Guinea,4.441432496740889,Domestic credit to private sector by banks (% of GDP),1997
Guinea,5.1816034586230595,GDP growth (annual %),1997
Guinea,20.5,Lending interest rate (%),1997
Guinea,18.7963104340512,Real interest rate (%),1997
Guinea-Bissau,,Bank nonperforming loans to total gross loans (%),1997
Guinea-Bissau,4.881240230948361,Domestic credit to private sector by banks (% of GDP),1997
Guinea-Bissau,6.5,GDP growth (annual %),1997
Guinea-Bissau,,Lending interest rate (%),1997
Guinea-Bissau,,Real interest rate (%),1997
Guyana,,Bank nonperforming loans to total gross loans (%),1997
Guyana,45.4335066533216,Domestic credit to private sector by banks (% of GDP),1997
Guyana,6.1806656222799505,GDP growth (annual %),1997
Guyana,17.044166666666698,Lending interest rate (%),1997
Guyana,15.378955626714301,Real interest rate (%),1997
Haiti,,Bank nonperforming loans to total gross loans (%),1997
Haiti,15.386113394808,Domestic credit to private sector by banks (% of GDP),1997
Haiti,2.7047139132864397,GDP growth (annual %),1997
Haiti,27.1666666666667,Lending interest rate (%),1997
Haiti,12.809421197140901,Real interest rate (%),1997
Honduras,,Bank nonperforming loans to total gross loans (%),1997
Honduras,26.2289286157554,Domestic credit to private sector by banks (% of GDP),1997
Honduras,4.59808306248539,GDP growth (annual %),1997
Honduras,32.0666666666667,Lending interest rate (%),1997
Honduras,13.059542765283899,Real interest rate (%),1997
Hungary,,Bank nonperforming loans to total gross loans (%),1997
Hungary,23.508663702550002,Domestic credit to private sector by banks (% of GDP),1997
Hungary,3.14312413151492,GDP growth (annual %),1997
Hungary,21.766666666666698,Lending interest rate (%),1997
Hungary,1.2521706112155901,Real interest rate (%),1997
Iceland,,Bank nonperforming loans to total gross loans (%),1997
Iceland,64.9054804543641,Domestic credit to private sector by banks (% of GDP),1997
Iceland,5.76047518324718,GDP growth (annual %),1997
Iceland,12.891666666666698,Lending interest rate (%),1997
Iceland,9.86904709520594,Real interest rate (%),1997
India,,Bank nonperforming loans to total gross loans (%),1997
India,23.555325345616602,Domestic credit to private sector by banks (% of GDP),1997
India,4.0498208490926,GDP growth (annual %),1997
India,13.833333333333302,Lending interest rate (%),1997
India,6.90957899163785,Real interest rate (%),1997
Indonesia,,Bank nonperforming loans to total gross loans (%),1997
Indonesia,60.8162425174742,Domestic credit to private sector by banks (% of GDP),1997
Indonesia,4.69987885390397,GDP growth (annual %),1997
Indonesia,21.8175,Lending interest rate (%),1997
Indonesia,8.21356548046801,Real interest rate (%),1997
Iraq,,Bank nonperforming loans to total gross loans (%),1997
Iraq,,Domestic credit to private sector by banks (% of GDP),1997
Iraq,21.237935364313,GDP growth (annual %),1997
Iraq,,Lending interest rate (%),1997
Iraq,,Real interest rate (%),1997
Ireland,,Bank nonperforming loans to total gross loans (%),1997
Ireland,,Domestic credit to private sector by banks (% of GDP),1997
Ireland,10.903729975349199,GDP growth (annual %),1997
Ireland,,Lending interest rate (%),1997
Ireland,,Real interest rate (%),1997
Israel,,Bank nonperforming loans to total gross loans (%),1997
Israel,64.4268739123305,Domestic credit to private sector by banks (% of GDP),1997
Israel,3.9296726769598997,GDP growth (annual %),1997
Israel,18.71125,Lending interest rate (%),1997
Israel,9.48402845633201,Real interest rate (%),1997
Italy,,Bank nonperforming loans to total gross loans (%),1997
Italy,,Domestic credit to private sector by banks (% of GDP),1997
Italy,1.8302122338843798,GDP growth (annual %),1997
Italy,10.5094833333333,Lending interest rate (%),1997
Italy,7.74330889097142,Real interest rate (%),1997
Jamaica,,Bank nonperforming loans to total gross loans (%),1997
Jamaica,18.4648845490402,Domestic credit to private sector by banks (% of GDP),1997
Jamaica,-1.14045987235463,GDP growth (annual %),1997
Jamaica,32.8641666666667,Lending interest rate (%),1997
Jamaica,21.216808187807697,Real interest rate (%),1997
Japan,,Bank nonperforming loans to total gross loans (%),1997
Japan,184.51688453923802,Domestic credit to private sector by banks (% of GDP),1997
Japan,1.07604523419364,GDP growth (annual %),1997
Japan,2.4488333333333303,Lending interest rate (%),1997
Japan,1.935252813206,Real interest rate (%),1997
Jordan,,Bank nonperforming loans to total gross loans (%),1997
Jordan,68.8557865255892,Domestic credit to private sector by banks (% of GDP),1997
Jordan,3.3078934915712597,GDP growth (annual %),1997
Jordan,12.34,Lending interest rate (%),1997
Jordan,10.948392619767402,Real interest rate (%),1997
Kazakhstan,,Bank nonperforming loans to total gross loans (%),1997
Kazakhstan,5.13509907199895,Domestic credit to private sector by banks (% of GDP),1997
Kazakhstan,1.6999999994951103,GDP growth (annual %),1997
Kazakhstan,,Lending interest rate (%),1997
Kazakhstan,,Real interest rate (%),1997
Kenya,,Bank nonperforming loans to total gross loans (%),1997
Kenya,24.2184540569872,Domestic credit to private sector by banks (% of GDP),1997
Kenya,0.474901920484101,GDP growth (annual %),1997
Kenya,30.245,Lending interest rate (%),1997
Kenya,16.8795684939578,Real interest rate (%),1997
Kiribati,,Bank nonperforming loans to total gross loans (%),1997
Kiribati,,Domestic credit to private sector by banks (% of GDP),1997
Kiribati,1.66666666666666,GDP growth (annual %),1997
Kiribati,,Lending interest rate (%),1997
Kiribati,,Real interest rate (%),1997
Kuwait,,Bank nonperforming loans to total gross loans (%),1997
Kuwait,46.967968979112996,Domestic credit to private sector by banks (% of GDP),1997
Kuwait,2.47332525804084,GDP growth (annual %),1997
Kuwait,8.79666666666667,Lending interest rate (%),1997
Kuwait,14.1806914342445,Real interest rate (%),1997
Kyrgyz Republic,,Bank nonperforming loans to total gross loans (%),1997
Kyrgyz Republic,3.4130555926702004,Domestic credit to private sector by banks (% of GDP),1997
Kyrgyz Republic,9.91525387511598,GDP growth (annual %),1997
Kyrgyz Republic,63.8316666666667,Lending interest rate (%),1997
Kyrgyz Republic,37.3164753506249,Real interest rate (%),1997
Latvia,,Bank nonperforming loans to total gross loans (%),1997
Latvia,,Domestic credit to private sector by banks (% of GDP),1997
Latvia,8.93924849630017,GDP growth (annual %),1997
Latvia,,Lending interest rate (%),1997
Latvia,,Real interest rate (%),1997
Lebanon,,Bank nonperforming loans to total gross loans (%),1997
Lebanon,63.7167010309278,Domestic credit to private sector by banks (% of GDP),1997
Lebanon,1.05496666868561,GDP growth (annual %),1997
Lebanon,20.29,Lending interest rate (%),1997
Lebanon,7.83817676256508,Real interest rate (%),1997
Lesotho,,Bank nonperforming loans to total gross loans (%),1997
Lesotho,21.141585882490197,Domestic credit to private sector by banks (% of GDP),1997
Lesotho,3.70360359587893,GDP growth (annual %),1997
Lesotho,18.033333333333303,Lending interest rate (%),1997
Lesotho,8.26864811362688,Real interest rate (%),1997
Liberia,,Bank nonperforming loans to total gross loans (%),1997
Liberia,,Domestic credit to private sector by banks (% of GDP),1997
Liberia,,GDP growth (annual %),1997
Liberia,16.825,Lending interest rate (%),1997
Liberia,,Real interest rate (%),1997
Libya,,Bank nonperforming loans to total gross loans (%),1997
Libya,21.973991094777002,Domestic credit to private sector by banks (% of GDP),1997
Libya,,GDP growth (annual %),1997
Libya,,Lending interest rate (%),1997
Libya,,Real interest rate (%),1997
Lithuania,,Bank nonperforming loans to total gross loans (%),1997
Lithuania,,Domestic credit to private sector by banks (% of GDP),1997
Lithuania,8.293228870268178,GDP growth (annual %),1997
Lithuania,,Lending interest rate (%),1997
Lithuania,,Real interest rate (%),1997
Luxembourg,,Bank nonperforming loans to total gross loans (%),1997
Luxembourg,,Domestic credit to private sector by banks (% of GDP),1997
Luxembourg,5.70971703699894,GDP growth (annual %),1997
Luxembourg,,Lending interest rate (%),1997
Luxembourg,,Real interest rate (%),1997
Madagascar,,Bank nonperforming loans to total gross loans (%),1997
Madagascar,8.283184098225611,Domestic credit to private sector by banks (% of GDP),1997
Madagascar,3.69349261585776,GDP growth (annual %),1997
Madagascar,30.3333333333333,Lending interest rate (%),1997
Madagascar,24.7304736058052,Real interest rate (%),1997
Malawi,,Bank nonperforming loans to total gross loans (%),1997
Malawi,3.66100353279872,Domestic credit to private sector by banks (% of GDP),1997
Malawi,3.79241909896267,GDP growth (annual %),1997
Malawi,28.25,Lending interest rate (%),1997
Malawi,6.136607321412259,Real interest rate (%),1997
Malaysia,,Bank nonperforming loans to total gross loans (%),1997
Malaysia,154.892118323604,Domestic credit to private sector by banks (% of GDP),1997
Malaysia,7.3227418503592405,GDP growth (annual %),1997
Malaysia,10.6283333333333,Lending interest rate (%),1997
Malaysia,6.905509760353779,Real interest rate (%),1997
Maldives,,Bank nonperforming loans to total gross loans (%),1997
Maldives,16.6637361066295,Domestic credit to private sector by banks (% of GDP),1997
Maldives,8.39794082987038,GDP growth (annual %),1997
Maldives,15.0,Lending interest rate (%),1997
Maldives,10.470261935564901,Real interest rate (%),1997
Mali,,Bank nonperforming loans to total gross loans (%),1997
Mali,12.4438287619592,Domestic credit to private sector by banks (% of GDP),1997
Mali,4.82902433934807,GDP growth (annual %),1997
Mali,,Lending interest rate (%),1997
Mali,,Real interest rate (%),1997
Malta,,Bank nonperforming loans to total gross loans (%),1997
Malta,,Domestic credit to private sector by banks (% of GDP),1997
Malta,5.25698014497532,GDP growth (annual %),1997
Malta,7.99166666666667,Lending interest rate (%),1997
Malta,2.2763008805475295,Real interest rate (%),1997
Mauritania,,Bank nonperforming loans to total gross loans (%),1997
Mauritania,,Domestic credit to private sector by banks (% of GDP),1997
Mauritania,-4.04469652454419,GDP growth (annual %),1997
Mauritania,22.0,Lending interest rate (%),1997
Mauritania,8.85367292396589,Real interest rate (%),1997
Mauritius,,Bank nonperforming loans to total gross loans (%),1997
Mauritius,49.098348734353706,Domestic credit to private sector by banks (% of GDP),1997
Mauritius,5.6874774442267695,GDP growth (annual %),1997
Mauritius,18.9166666666667,Lending interest rate (%),1997
Mauritius,13.1238549904565,Real interest rate (%),1997
Mexico,,Bank nonperforming loans to total gross loans (%),1997
Mexico,20.2388834198469,Domestic credit to private sector by banks (% of GDP),1997
Mexico,6.8468522786243,GDP growth (annual %),1997
Mexico,22.14,Lending interest rate (%),1997
Mexico,2.8591809730765,Real interest rate (%),1997
Moldova,,Bank nonperforming loans to total gross loans (%),1997
Moldova,6.91994426360958,Domestic credit to private sector by banks (% of GDP),1997
Moldova,1.6470645031067601,GDP growth (annual %),1997
Moldova,33.325,Lending interest rate (%),1997
Moldova,18.508014227620198,Real interest rate (%),1997
Mongolia,,Bank nonperforming loans to total gross loans (%),1997
